[[!table  data="""
Package|Packaged by pkg-emacsen-addons?|Spacemacs|Doom Emacs
pyenv-mode|todo|+lang/python|lang/python
pyim|todo|+intl/chinese|input/chinese
pyimport|todo||lang/python
pylookup|todo|+lang/python|
pytest|todo|+lang/python|
python|todo|+lang/python|lang/python
python-pytest|todo||lang/python
pyvenv|**DONE**|+lang/python|lang/python
qml-mode|**DONE**|+lang/major-modes|
racer|todo|+lang/rust|lang/rust
racket-mode|**DONE**|+lang/racket|lang/racket
rainbow-delimiters|**DONE**|+spacemacs/spacemacs-editing-visual|
rainbow-identifiers|**DONE**|+themes/colors|
rainbow-mode|**DONE**|+themes/colors|
rake|todo|+lang/ruby|lang/ruby
raku-mode|todo||lang/perl
ranger|todo|+tools/ranger|emacs/dired
rase|todo|+tools/geolocation|
rbenv|todo|+lang/ruby|
rcirc|todo|+chat/rcirc|
rcirc-color|todo|+chat/rcirc|
rcirc-late-fix|todo|+chat/rcirc|
rcirc-notify|todo|+chat/rcirc|
rcirc-styles|todo|+chat/rcirc|
realgud|todo|+tools/debug|tools/debugger
realgud-trepan-ni|todo||tools/debugger
reason-mode|todo|+lang/reasonml|
rebox2|todo|+tools/rebox|
recentf|todo|+spacemacs/spacemacs-defaults|
restart-emacs|**DONE**|+spacemacs/spacemacs-navigation|
restclient|todo|+tools/restclient|lang/rest
restclient-helm|todo|+tools/restclient|
reveal-in-osx-finder|todo|+os/osx|
rjsx-mode|todo|+frameworks/react|lang/javascript
robe|todo|+lang/ruby|lang/ruby
rspec-mode|todo|+lang/ruby|lang/ruby
rst|todo|+lang/restructuredtext|lang/rst
rst-directives|todo|+lang/restructuredtext|
rst-lists|todo|+lang/restructuredtext|
rst-sphinx|todo|+tools/sphinx|
rtags|**DONE**|+lang/c-c++|lang/cc
rubocop|todo|+lang/ruby|lang/ruby
rubocopfmt|todo|+lang/ruby|
ruby-hash-syntax|todo|+lang/ruby|
ruby-mode|todo|+lang/ruby|lang/ruby
ruby-refactor|todo|+lang/ruby|
ruby-test-mode|todo|+lang/ruby|
ruby-tools|todo|+lang/ruby|
rust-mode|**DONE**|+lang/rust|
rustic|todo||lang/rust
rvm|todo|+lang/ruby|
sailfish-scratchbox|todo|+tools/sailfish-developer|
salt-mode|todo|+tools/salt|
sass-mode|todo|+lang/html|
savehist|todo|+spacemacs/spacemacs-defaults|
saveplace|todo|+spacemacs/spacemacs-defaults|
sayid|todo|+lang/clojure|
sbt-mode|todo|+lang/scala|lang/scala
scala-mode|todo|+lang/scala|
scheme|todo||lang/scheme
scss-mode|todo|+lang/html|
seeing-is-believing|todo|+lang/ruby|
selectric-mode|todo|+fun/selectric|
semantic|todo|+emacs/semantic|
sh-script|todo|+lang/shell-scripts|lang/sh
shader-mode|todo||lang/csharp
shell-pop|todo|+tools/shell|
skewer-mode|todo|+lang/javascript|
slack|todo|+chat/slack|
slim-mode|todo|+lang/html|
slime|todo|+lang/common-lisp|
sly|todo||lang/common-lisp
sly-repl-ansi-color|todo||lang/common-lisp
smartparens|todo|+spacemacs/spacemacs-editing|
smeargle|**DONE**|+source-control/git|
smerge-mode|todo|+source-control/version-control|
smex|**DONE**|+emacs/smex|
sml-mode|**DONE**|+lang/sml|lang/sml
solaire-mode|todo||ui/doom
solidity-flycheck|todo|+lang/solidity|lang/solidity
solidity-mode|todo|+lang/solidity|
spaceline-all-the-icons|todo|+spacemacs/spacemacs-modeline|
spaceline-config|todo|+spacemacs/spacemacs-modeline|
spacemacs-purpose-popwin|todo|+spacemacs/spacemacs-purpose|
spacemacs-theme|todo|+distributions/spacemacs-bootstrap|
spacemacs-whitespace-cleanup|todo|+spacemacs/spacemacs-editing|
spacemacs-xclipboard|todo|+tools/xclipboard|
sparql-mode|todo|+lang/semantic-web|
sphinx-mode|todo||lang/rst
spotify|todo|+music/spotify|
spray|todo|+readers/speed-reading|
sql|todo|+lang/sql|
sql-indent|todo|+lang/sql|
sqlfmt|todo|+lang/sql|
sqlup-mode|todo|+lang/sql|
srefactor|todo|+emacs/semantic|
srefactor-lisp|todo|+lang/emacs-lisp|
ssh-deploy|todo||tools/upload
stickyfunc-enhance|todo|+emacs/semantic|
string-inflection|todo|+spacemacs/spacemacs-editing|
subword|todo|+spacemacs/spacemacs-defaults|
sudoku|todo|+fun/games|
sunshine|todo|+tools/geolocation|
swift-mode|todo|+lang/swift|
swiper|**DONE**|+completion/ivy|
switch-window|todo||ui/window-select
symbol-overlay|todo|+spacemacs/spacemacs-navigation|
symon|todo|+spacemacs/spacemacs-modeline|
systemd|**DONE**|+tools/systemd|
tagedit|todo|+lang/html|
terminal-here|todo|+tools/shell|
tern|todo|+tools/tern|
terraform-mode|todo|+tools/terraform|
tetris|todo|+fun/games|
tex|todo|+lang/latex|
tex-fold|todo||lang/latex
theme-changer|todo|+tools/geolocation|
tidal|todo|+music/tidalcycles|
tide|todo|+tools/tide|lang/javascript
tildify|todo|+emacs/typography|
tmux|todo|+tools/tmux|
toc-org|todo|+spacemacs/spacemacs-org|lang/org
toml-mode|todo|+lang/rust|
transient|todo|+source-control/git|
transmission|**DONE**|+tools/transmission|
treemacs|todo|+filetree/treemacs|ui/treemacs
treemacs-evil|todo|+filetree/treemacs|ui/treemacs
treemacs-icons-dired|todo|+filetree/treemacs|
treemacs-magit|todo|+filetree/treemacs|ui/treemacs
treemacs-persp|todo|+filetree/treemacs|ui/treemacs
treemacs-projectile|todo|+filetree/treemacs|ui/treemacs
ttl-mode|todo|+lang/semantic-web|
tuareg|todo|+lang/ocaml|
twittering-mode|todo|+web-services/twitter|app/twitter
typescript-mode|todo|+lang/typescript|lang/javascript
typit|todo|+fun/games|
typo|todo|+emacs/typography|
undo-fu|todo||emacs/undo
undo-fu-session|todo||emacs/undo
undo-tree|**DONE**|+spacemacs/spacemacs-editing|emacs/undo
unfill|todo|+emacs/better-defaults|
unicode-fonts|todo|+fonts/unicode-fonts|
utop|todo|+lang/ocaml|lang/ocaml
uuidgen|todo|+spacemacs/spacemacs-editing|
vagrant|todo|+tools/vagrant|
vagrant-tramp|todo|+tools/vagrant|
vala|todo|+lang/major-modes|
vc|todo|+source-control/version-control|
verb|todo|+emacs/org|
vi-tilde-fringe|todo|+spacemacs/spacemacs-evil|
view|todo|+spacemacs/spacemacs-navigation|
vim-empty-lines-mode|todo|+vim/vim-empty-lines|
vimrc-mode|todo|+lang/vimscript|
vmd-mode|todo|+lang/markdown|
volatile-highlights|todo|+spacemacs/spacemacs-editing-visual|ui/ophints
vterm|todo|+tools/shell|term/vterm
wakatime-mode|todo|+web-services/wakatime|
web-beautify|todo|+tools/web-beautify|
web-mode|**DONE**|+lang/html|
wgrep|todo||completion/ivy
whitespace|todo|+spacemacs/spacemacs-defaults|
window-purpose|todo|+spacemacs/spacemacs-purpose|
winner|todo|+spacemacs/spacemacs-defaults|
winum|todo|+spacemacs/spacemacs-navigation|ui/window-select
wl|todo||email/wanderlust
wolfram-mode|todo|+lang/major-modes|
writegood-mode|**DONE**||checkers/grammar
writeroom-mode|todo|+spacemacs/spacemacs-editing-visual|
ws-butler|**DONE**|+spacemacs/spacemacs-editing|
x86-lookup|todo|+lang/asm|
xcscope|todo|+tags/cscope|
xkcd-mode|todo|+fun/xkcd|
xref-js2|todo||lang/javascript
xterm-color|todo|+tools/shell|
yaml-mode|**DONE**|+lang/yaml|lang/yaml
yang-mode|todo|+lang/yang|
yapfify|todo|+lang/python|
yard-mode|todo||lang/ruby
yasnippet|**DONE**|+completion/auto-completion|editor/snippets
yatemplate|todo|+completion/templates|
ycmd|todo|+lang/c-c++|
youdao-dictionary|todo|+intl/chinese|
zeal-at-point|todo|+readers/dash|
zetteldeft|todo|+readers/deft|
zig-mode|todo|+lang/zig|
zone|todo|+spacemacs/spacemacs-defaults|
zoom-frm|todo|+spacemacs/spacemacs-visual|
"""]]
