[[!table  data="""
Package|Packaged by pkg-emacsen-addons?|Spacemacs|Doom Emacs
diredfl|todo||emacs/dired
direnv|todo||tools/direnv
disaster|todo|+lang/c-c++|
display-line-numbers|todo|+spacemacs/spacemacs-defaults|
doc-view|todo|+spacemacs/spacemacs-navigation|
docker|todo|+tools/docker|
docker-tramp|todo|+tools/docker|
dockerfile-mode|todo|+tools/docker|
doom-modeline|todo|+spacemacs/spacemacs-modeline|ui/modeline
doom-themes|todo||ui/doom
dos|todo|+lang/windows-scripts|
dotenv-mode|todo|+distributions/spacemacs-bootstrap|
dotnet|todo|+tools/dotnet|
drag-stuff|todo||config/default
drupal-mode|todo|+lang/php|
dumb-jump|**DONE**|+spacemacs/spacemacs-misc|tools/lookup
dune|todo|+lang/ocaml|
ebuild-mode|todo|+lang/major-modes|
edebug|todo|+lang/emacs-lisp|
ediff|todo|+spacemacs/spacemacs-defaults|
ediprolog|**DONE**|+lang/prolog|
edit-server|todo|+tools/chrome|
editorconfig|**DONE**|+spacemacs/spacemacs-editing|tools/editorconfig
ein|todo|+tools/ipython-notebook|
eldoc|todo|+spacemacs/spacemacs-defaults|
elfeed|**DONE**|+readers/elfeed|app/rss
elfeed-goodies|todo|+readers/elfeed|
elfeed-org|todo|+readers/elfeed|app/rss
elfeed-web|**DONE**|+readers/elfeed|
elisp-demos|todo||lang/emacs-lisp
elisp-mode|todo||lang/emacs-lisp
elisp-slime-nav|**DONE**|+lang/emacs-lisp|
elixir-mode|todo|+lang/elixir|lang/elixir
elm-mode|**DONE**|+lang/elm|
elm-test-runner|todo|+lang/elm|
ember-mode|todo|+frameworks/emberjs|
ember-yasnippets|todo|+frameworks/emberjs|
emmet-mode|todo|+lang/html|lang/web
emoji-cheat-sheet-plus|todo|+fun/emoji|
emojify|todo|+chat/rcirc|
emr|todo|+lang/emacs-lisp|
engine-mode|**DONE**|+web-services/search-engine|
enh-ruby-mode|todo|+lang/ruby|
ensime|todo|+lang/scala|
erc|todo|+chat/erc|
erc-autoaway|todo|+chat/erc|
erc-gitter|todo|+chat/erc|
erc-hl-nicks|todo|+chat/erc|
erc-image|todo|+chat/erc|
erc-sasl|todo|+chat/erc|
erc-social-graph|todo|+chat/erc|
erc-terminal-notifier|todo|+chat/erc|
erc-tweet|todo|+chat/rcirc|
erc-view-log|todo|+chat/erc|
erc-yank|todo|+chat/erc|
erc-yt|todo|+chat/erc|
erlang|todo|+lang/erlang|lang/erlang
eros|todo||tools/eval
es-mode|todo|+tools/elasticsearch|
esh-help|**DONE**|+tools/shell|term/eshell
eshell|todo|+tools/shell|
eshell-did-you-mean|todo||term/eshell
eshell-prompt-extras|**DONE**|+tools/shell|
eshell-up|**DONE**||term/eshell
eshell-z|**DONE**|+tools/shell|term/eshell
ess|todo||lang/ess
ess-R-data-view|todo|+lang/ess|
ess-site|todo|+lang/ess|
eval-sexp-fu|todo|+spacemacs/spacemacs-editing|
evil|**DONE**||editor/evil
evil-anzu|todo|+spacemacs/spacemacs-evil|ui/modeline
evil-args|todo|+spacemacs/spacemacs-evil|
evil-cleverparens|todo|+spacemacs/spacemacs-evil|
evil-commentary|todo|+vim/evil-commentary|
evil-easymotion|todo||editor/evil
evil-ediff|todo|+spacemacs/spacemacs-evil|
evil-embrace|todo||editor/evil
evil-escape|todo|+spacemacs/spacemacs-evil|editor/evil
evil-evilified-state|todo|+distributions/spacemacs-bootstrap|
evil-exchange|todo|+spacemacs/spacemacs-evil|editor/evil
evil-goggles|todo|+spacemacs/spacemacs-evil|ui/ophints
evil-iedit-state|todo|+spacemacs/spacemacs-evil|
evil-indent-plus|todo|+spacemacs/spacemacs-evil|
evil-ledger|todo|+tools/finance|lang/ledger
evil-lion|todo|+spacemacs/spacemacs-evil|
evil-lisp-state|todo|+spacemacs/spacemacs-evil|
evil-magit|todo|+source-control/git|tools/magit
evil-markdown|todo||lang/markdown
evil-matchit|todo|+spacemacs/spacemacs-evil|
evil-mc|todo|+misc/multiple-cursors|editor/multiple-cursors
evil-multiedit|todo||editor/multiple-cursors
evil-nerd-commenter|todo|+spacemacs/spacemacs-evil|editor/evil
evil-numbers|todo|+spacemacs/spacemacs-evil|
evil-org|todo|+emacs/org|lang/org
evil-org-agenda|todo||lang/org
evil-quick-diff|todo||editor/evil
evil-snipe|todo|+vim/evil-snipe|editor/evil
evil-surround|todo|+lang/julia|editor/evil
evil-terminal-cursor-changer|todo|+spacemacs/spacemacs-evil|
evil-textobj-line|todo|+spacemacs/spacemacs-evil|
evil-traces|todo||editor/evil
evil-tutor|todo|+spacemacs/spacemacs-evil|
evil-tutor-ja|todo|+intl/japanese|
evil-unimpaired|todo|+spacemacs/spacemacs-evil|
evil-vimish-fold|todo||editor/fold
evil-visual-mark-mode|todo|+spacemacs/spacemacs-evil|
evil-visualstar|todo|+spacemacs/spacemacs-evil|editor/evil
exato|todo||editor/evil
expand-region|**DONE**|+spacemacs/spacemacs-editing|
extempore-mode|todo|+lang/extempore|
eyebrowse|**DONE**|+spacemacs/spacemacs-layouts|
factor-mode|todo|+lang/factor|
fancy-battery|todo|+spacemacs/spacemacs-modeline|
fasd|todo|+tools/fasd|
faust-mode|todo|+lang/faust|
faustine|todo||lang/faust
fcitx|todo|+intl/chinese|input/chinese
fd-dired|todo||emacs/dired
feature-mode|todo|+frameworks/ruby-on-rails|
fill-column-indicator|**DONE**|+spacemacs/spacemacs-visual|
find-by-pinyin-dired|todo|+intl/chinese|
fish-completion|todo||term/eshell
fish-mode|todo|+lang/shell-scripts|lang/sh
floobits|todo|+pair-programming/floobits|
flutter|todo|+lang/dart|lang/dart
flx|**DONE**|+completion/ivy|completion/ivy
flx-ido|**DONE**|+spacemacs/spacemacs-completion|completion/ido
flycheck|**DONE**|+checkers/syntax-checking|checkers/syntax
flycheck-ameba|todo||lang/crystal
flycheck-bashate|todo|+lang/shell-scripts|
flycheck-cask|todo||lang/emacs-lisp
flycheck-clj-kondo|todo|+lang/clojure|lang/clojure
flycheck-clojure|todo|+lang/clojure|
flycheck-credo|todo|+lang/elixir|lang/elixir
flycheck-crystal|todo|+lang/crystal|lang/crystal
flycheck-cython|todo||lang/python
flycheck-dmd-dub|todo|+lang/d|
flycheck-elm|todo|+lang/elm|lang/elm
flycheck-elsa|todo|+lang/emacs-lisp|
flycheck-golangci-lint|todo|+lang/go|lang/go
flycheck-haskell|todo|+lang/haskell|
flycheck-irony|todo||lang/cc
flycheck-joker|todo|+lang/clojure|
flycheck-kotlin|todo|+lang/kotlin|lang/kotlin
flycheck-ledger|todo||lang/ledger
flycheck-mercury|todo|+lang/mercury|
flycheck-mix|todo|+lang/elixir|
flycheck-nim|todo|+lang/nim|lang/nim
flycheck-ocaml|todo|+lang/ocaml|lang/ocaml
flycheck-package|**DONE**|+lang/emacs-lisp|
flycheck-pact|todo|+lang/pact|
flycheck-plantuml|todo||lang/plantuml
flycheck-popup-tip|todo||checkers/syntax
flycheck-pos-tip|todo|+checkers/syntax-checking|
flycheck-posframe|todo||checkers/syntax
flycheck-raku|todo||lang/perl
flycheck-rebar3|todo||lang/erlang
flycheck-rtags|**DONE**|+lang/c-c++|
flycheck-rust|todo|+lang/rust|
flycheck-swift|todo||lang/swift
flycheck-ycmd|todo|+lang/c-c++|
flymd|todo|+tools/chrome|
flyspell|todo|+checkers/spell-checking|checkers/spell
flyspell-correct|todo|+checkers/spell-checking|checkers/spell
flyspell-correct-helm|todo|+checkers/spell-checking|
flyspell-correct-ivy|todo|+checkers/spell-checking|
flyspell-correct-popup|todo|+checkers/spell-checking|
flyspell-lazy|todo||checkers/spell
flyspell-popup|todo|+checkers/spell-checking|
forge|todo|+source-control/github|tools/magit
forth-mode|todo|+lang/forth|
fsharp-mode|todo|+lang/fsharp|
fuel-mode|todo||lang/factor
fuzzy|todo|+completion/auto-completion|
gdb-mi|todo|+lang/c-c++|
gdscript-mode|todo||lang/gdscript
geben|todo|+lang/php|
geeknote|todo|+web-services/evernote|
geiser|**DONE**|+lang/scheme|lang/scheme
ggtags|todo|+tags/gtags|
gh-md|todo|+lang/markdown|
ghc|todo|+lang/haskell|
gist|todo|+source-control/github|
git-commit|**DONE**|+source-control/git|emacs/vc
git-gutter|todo|+source-control/version-control|ui/vc-gutter
git-gutter-fringe|todo|+source-control/version-control|
git-link|todo|+source-control/git|
git-messenger|**DONE**|+source-control/git|
git-timemachine|**DONE**|+source-control/git|
gitattributes-mode|**DONE**|+source-control/git|
gitconfig-mode|**DONE**|+source-control/git|
github-clone|todo|+source-control/github|
github-review|todo||tools/magit
github-search|todo|+source-control/github|
gitignore-mode|**DONE**|+source-control/git|
gitignore-templates|todo|+source-control/git|
glsl-mode|todo|+lang/gpu|
gmail-message-mode|todo|+tools/chrome|
gnuplot|todo|+emacs/org|
gnus|todo|+email/gnus|
go-eldoc|todo|+lang/go|
go-fill-struct|todo|+lang/go|
go-gen-test|todo|+lang/go|
go-impl|todo|+lang/go|
go-mode|**DONE**|+lang/go|
go-rename|todo|+lang/go|
go-tag|todo|+lang/go|
god-mode|todo||editor/god
godoctor|todo|+lang/go|
golden-ratio|**DONE**|+spacemacs/spacemacs-navigation|
google-c-style|todo|+lang/c-c++|
google-translate|todo|+spacemacs/spacemacs-language|
gorepl-mode|todo||lang/go
